Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
爱情 (4.01) New Word,爱情,àiqíng,n.,love (between a man and a woman),4.01,,,,New Word,4上
安排 (4.03) New Word,安排,ānpái,v.,to arrange,4.03,,,,New Word,4上
按时 (4.04) New Word,按时,ànshí,adv.,"on time, on schedule",4.04,,,,New Word,4上
按照 (4.04) New Word,按照,ànzhào,prep.,according to,4.04,,,,New Word,4上
百分之 (4.06) New Word,百分之,bǎifēnzhī,,percent,4.06,,,,New Word,4上
保证 (4.04) New Word,保证,bǎozhèng,v.,to guarantee,4.04,,,,New Word,4上
倍 (4.06) New Word,倍,bèi,m.,"times, -fold",4.06,,,,New Word,4上
本来 (4.03) New Word,本来,běnlái,adv.,"originally, at first",4.03,,,,New Word,4上
比如 (4.10) New Word,比如,bǐrú,v.,"for example, such as",4.10,比如=例如； 例子 noun,,,New Word,4上
毕业 (4.02) New Word,毕业,bìyè,v.,to graduate,4.02,,,,New Word,4上
标准 (4.05) New Word,标准,biāozhǔn,n.,standard,4.05,,,,New Word,4上
饼干 (4.09) New Word,饼干,bǐnggān,n.,biscuit,4.09,,,,New Word,4上
不得不 (4.04) New Word,不得不,bùdébù,,"to have to, to have no choice but",4.04,,,,New Word,4上
不管 (4.03) New Word,不管,bùguǎn,conj.,"no matter (what, how, etc.)",4.03,,,,New Word,4上
不过 (4.10) New Word,不过,bùguò,conj.,"but, yet",4.10,"adv= 仅仅 only
他不过五岁。",,,New Word,4上
不仅 (4.01) New Word,不仅,bùjǐn,conj.,not only,4.01,,,,New Word,4上
擦 (4.07) New Word,擦,cā,v.,to wipe,4.07,,,,New Word,4上
材料 (4.03) New Word,材料,cáiliào,n.,"data, material",4.03,,,,New Word,4上
差不多 (4.02) New Word,差不多,chàbuduō,adv.,almost,4.02,,,,New Word,4上
尝 (4.06) New Word,尝,cháng,v.,to taste,4.06,,,,New Word,4上
超过 (4.07) New Word,超过,chāoguò,v.,"to exceed, to surpass",4.07,,,,New Word,4上
成功 (4.04) New Word,成功,chénggōng,adj.,successful,4.04,,,,New Word,4上
成为 (4.08) New Word,成为,chéngwéi,v.,to become,4.08,,,,New Word,4上
诚实 (4.03) New Word,诚实,chéngshí,adj.,honest,4.03,,,,New Word,4上
重新 (4.02) New Word,重新,chóngxīn,adv.,"again, once more",4.02,,,,New Word,4上
抽烟 (4.07) New Word,抽烟,chōuyān,,to smoke,4.07,,,,New Word,4上
出现 (4.07) New Word,出现,chūxiàn,v.,"to appear, to emerge",4.07,,,,New Word,4上
窗户 (4.07) New Word,窗户,chuānghu,n.,window,4.07,,,,New Word,4上
从来 (4.01) New Word,从来,cónglái,adv.,"always, all along",4.01,,,,New Word,4上
答案 (4.10) New Word,答案,dá'àn,n.,"answer, key",4.10,,,,New Word,4上
打扰 (4.06) New Word,打扰,dǎrǎo,v.,"to disturb, to bother",4.06,,,,New Word,4上
打折 (4.05) New Word,打折,dǎzhé,v.,to give a discount,4.05,,,,New Word,4上
大使馆 (4.08) New Word,大使馆,dàshǐguǎn,n.,embassy,4.08,,,,New Word,4上
大夫 (4.07) New Word,大夫,dàifu,n.,doctor,4.07,,,,New Word,4上
当 (4.02) New Word,当,dāng,prep.,"when, just at (a time or place)",4.02,,,,New Word,4上
当时 (4.09) New Word,当时,dāngshí,n.,"then, at that time",4.09,,,,New Word,4上
到处 (4.08) New Word,到处,dàochù,adv.,everywhere,4.08,,,,New Word,4上
得 (4.09) New Word,得,děi,mod.,"must, have to",4.09,,,,New Word,4上
等 (4.10) New Word,等,děng,part.,"etc., and so on",4.10,等等  ,,,New Word,4上
低 (4.10) New Word,低,dī,adj.,low,4.10,水平；标准；要求,,,New Word,4上
调查 (4.04) New Word,调查,diàochá,v.,"to survey, to investigate",4.04,,,,New Word,4上
掉 (4.07) New Word,掉,diào,v.,"used after certain verbs, indicating the result of an action",4.07,,,,New Word,4上
动作 (4.07) New Word,动作,dòngzuò,n.,"action, movement",4.07,,,,New Word,4上
堵车 (4.08) New Word,堵车,dǔchē,v.,traffic jam,4.08,,,,New Word,4上
肚子 (4.07) New Word,肚子,dùzi,n.,"belly, stomach",4.07,,,,New Word,4上
短信 (4.02) New Word,短信,duǎnxìn,n.,text message,4.02,,,,New Word,4上
而 (4.02) New Word,而,ér,conj.,"(showing a contrast) while, yet",4.02,,,,New Word,4上
发生 (4.08) New Word,发生,fāshēng,v.,"to happen, to take place",4.08,,,,New Word,4上
